,Unnamed: 0,name,nb_reviews,location,rating,header,content,date,responded,response_date,response,company,sentences
0,0,Sherry Angel,1,US,1,Bad Bad Bad Company,"I booked a villa through this company, found a family in the house when we arrived at 10:00 pm at night after a long flight. The owner overbooked and the company barely helped us. . . Do not use this site.",2021-04-20 05:57:52+00:00,0,,-,booking.com,"I booked a villa through this company, found a family in the house when we arrived at 10:00 pm at night after a long flight."
1,0,Sherry Angel,1,US,1,Bad Bad Bad Company,"I booked a villa through this company, found a family in the house when we arrived at 10:00 pm at night after a long flight. The owner overbooked and the company barely helped us. . . Do not use this site.",2021-04-20 05:57:52+00:00,0,,-,booking.com,The owner overbooked and the company barely helped us.
2,0,Sherry Angel,1,US,1,Bad Bad Bad Company,"I booked a villa through this company, found a family in the house when we arrived at 10:00 pm at night after a long flight. The owner overbooked and the company barely helped us. . . Do not use this site.",2021-04-20 05:57:52+00:00,0,,-,booking.com,Do not use this site.
3,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,"If I could give them a negative 5 star review, I would do it."
4,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,"I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled."
5,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,I called booking.com and talked to the customer service agent and manager.
6,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,They said that they were not refunding my money.
7,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,"According to them, it was the hotel's fault even though it was booking.com that charged my card."
8,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back.
9,1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com,"Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel."
